Name,Quantity,Component
"R1, R3, R4",3,"330 Ω Resistor"
"U1",1," Arduino Uno R3"
"D1",1,"Red LED"
"D2",1,"Blue LED"
"D3",1,"Green LED"
"R2",1," Photoresistor"
"R5",1,"10 kΩ Resistor"
